Temperature,Vibration,Power_Usage,Humidity,Machine_Type,Failure_Risk
0.52692163934287,0.7075481792236058,0.3375206317410455,0.16551384960599852,2,1
0.4374123979098544,0.6301499485301223,0.4139212530014835,0.3352044901386701,1,0
0.5482036255142717,0.4891205448242977,0.3206410077484937,0.40758625774912965,0,1
0.6715954301898299,0.3739224384376656,0.39038990472795543,0.7804137441820038,1,1
0.4238954695457712,0.5932361948497709,0.16209876709235554,0.5647595441259443,0,1
0.42389778389630794,0.543551982458699,0.465436551228547,0.2582351335640884,0,0
0.679515217230449,0.6253500006650856,0.43490158607080875,0.5533352657841761,1,0
0.5650835537281871,0.5829563300021428,0.3170893811432062,0.2239182460212022,2,1
0.39072362717037556,0.6505166415035795,0.5296415649310985,0.6499980016335767,0,0
0.533384269531942,0.3921341666789866,0.569712756029237,0.3982677110031851,2,1
0.39157740416486664,0.6941852672235502,0.20328291685654176,0.45942379301819086,1,1
0.39125148629323936,0.5116149312975478,0.32491630459826026,0.6893830082306807,0,0
0.491010739566192,0.8177472261847176,0.3239923479876091,0.26606302759242945,1,0
0.18719866281680808,0.367033864839752,0.29940742131773124,0.24824951995544736,2,1
0.21375102298966697,0.7624285210244595,0.5541499583237006,0.3800459345947938,1,0
0.37764029501538576,0.5116656658198744,0.40682231199630015,0.6428190785187831,1,0
0.3141297698804386,0.3731918231650029,0.39664505195747934,0.22844764631365816,0,0
0.5012003466879627,0.40050612556000087,0.14622608239937013,0.015762241449173098,1,0
0.32890381291478177,0.427169307636591,0.5262110296430671,0.40150232570483785,1,1
0.25781842975015,0.5485541148460957,0.25630836074244856,0.5639799100197569,1,0
0.6635067501131799,0.5646411129871929,0.4433567069973122,0.6690453734418376,0,0
0.42507633737515027,0.3858628997321747,0.4746628027179396,0.3995578262326382,2,1
0.46642177765907544,0.4754277081070246,0.6306260430705136,0.4079392607939078,2,1
0.25606420264943863,0.8286723957443156,0.24629331479462557,0.6615345264433583,1,0
0.47253883322109336,0.5505362998185159,0.46119738906618246,0.4116501846339909,1,0
0.294653807125029,0.48559451476122395,0.6939529111268695,0.5054437461666319,2,0
0.5098626944656546,0.498968265277814,0.6131027745342527,0.5473705319633275,0,1
0.3722341535824585,0.5794259079904782,0.4649133118270813,0.3920009178196458,2,0
0.4157843355607095,0.312643230687045,0.36394572524039237,0.48017330060434144,2,1
0.37208361479247676,0.43743600837726593,0.5509318399855344,0.07146510470048412,0,0
0.7180076635281882,0.20735393291436166,0.29456372565156497,0.36795219912699634,0,0
0.45500009125318686,0.5444874580522321,0.5033106570147473,0.548065543878403,1,1
0.30780332268535215,0.5849167352268299,0.5075020532761451,0.315454275281473,1,0
0.5728521175975441,0.400620150575582,0.5873695630629333,0.48414949247989375,2,1
